time,CO,CO_model,NO2,NO2_model,O3,O3_model,SO2,SO2_model,PM2.5,PM2.5_model,PM10,PM10_model
2022-01-27 01:00:00,300.0,320.99997,12.0,12.531249,65.0,47.999996,4.0,0.7539062,26.6,32.124996,29.6,36.874996
2022-01-27 02:00:00,300.0,310.99997,12.0,12.531249,61.0,48.749996,4.0,0.7304687,29.0,31.562498,32.4,35.749996
2022-01-27 03:00:00,200.0,310.99997,15.0,13.718749,58.0,47.999996,3.0,0.7304687,38.3,32.124996,42.8,36.249996
2022-01-27 04:00:00,200.0,317.99997,21.0,15.093749,49.0,46.499996,3.0,0.96874994,38.1,32.624996,41.0,36.624996
2022-01-27 05:00:00,200.0,337.99997,43.0,16.499998,25.0,45.124996,3.0,1.6249999,34.9,33.999996,37.7,38.249996
2022-01-27 06:00:00,200.0,440.99997,41.0,18.187498,29.0,42.249996,2.0,3.3984373,32.7,45.249996,36.9,51.124996
2022-01-27 07:00:00,300.0,567.99994,32.0,19.062498,36.0,40.874996,2.0,5.1406245,29.8,56.374996,33.8,64.49999
2022-01-27 08:00:00,500.0,641.99994,43.0,14.937499,32.0,45.874996,3.0,4.5312495,28.2,60.624996,33.3,70.49999
2022-01-27 09:00:00,500.0,675.99994,27.0,11.656249,55.0,53.749996,3.0,3.9374998,29.4,59.999996,40.6,70.49999
2022-01-27 10:00:00,500.0,641.99994,19.0,3.5624998,64.0,85.24999,4.0,3.6718748,30.6,50.999996,44.1,59.999996
2022-01-27 11:00:00,400.0,567.99994,14.0,3.2187498,73.0,89.49999,5.0,3.3437498,30.4,41.874996,45.1,49.249996
2022-01-27 12:00:00,400.0,494.99997,10.0,3.4765623,80.0,91.74999,7.0,3.0468748,29.5,34.749996,36.8,40.874996
2022-01-27 13:00:00,400.0,280.99997,12.0,3.6015623,81.0,92.99999,6.0,1.0742186,29.9,28.874998,38.7,33.874996
2022-01-27 14:00:00,400.0,257.99997,12.0,4.2031245,83.0,92.99999,5.0,0.9101562,28.1,26.874998,39.0,31.374998
2022-01-27 15:00:00,300.0,250.49998,18.0,5.3593745,75.0,92.99999,5.0,0.8496093,26.6,26.187498,38.2,30.687498
2022-01-27 16:00:00,300.0,453.99997,36.0,15.437499,53.0,72.99999,5.0,3.8749998,27.8,26.812498,38.1,30.999998
2022-01-27 17:00:00,400.0,781.99994,51.0,24.374998,34.0,50.874996,5.0,7.2812495,28.8,29.062498,40.2,33.249996
2022-01-27 18:00:00,500.0,1111.9999,68.0,26.437498,16.0,39.374996,5.0,9.781249,26.9,33.624996,33.0,38.249996
2022-01-27 19:00:00,600.0,1295.9999,72.0,27.124998,10.0,35.124996,7.0,10.874999,29.8,37.624996,33.6,43.249996
2022-01-27 20:00:00,900.0,1255.9999,76.0,26.062498,12.0,35.124996,12.0,9.187499,29.7,37.374996,33.2,43.624996
2022-01-27 21:00:00,1000.0,1083.9999,68.0,23.999998,10.0,37.249996,11.0,6.7499995,25.3,35.874996,28.4,42.124996
2022-01-27 22:00:00,500.0,541.99994,62.0,22.312498,10.0,38.624996,7.0,3.0156248,21.7,31.624998,23.9,37.749996
2022-01-27 23:00:00,400.0,377.99997,60.0,21.249998,8.0,39.749996,6.0,1.5664061,18.9,23.874998,21.1,29.124998
2022-01-28 00:00:00,300.0,310.99997,57.0,20.062498,8.0,40.499996,6.0,0.98437494,19.3,20.312498,21.6,24.687498
2022-01-28 01:00:00,300.0,297.99997,42.0,25.749998,12.0,31.499998,5.0,0.9257812,19.0,29.687498,20.7,33.624996
2022-01-28 02:00:00,300.0,290.99997,37.0,23.999998,15.0,33.374996,5.0,0.95507807,20.5,47.874996,22.6,52.249996
2022-01-28 03:00:00,200.0,287.99997,51.0,24.374998,3.0,33.374996,4.0,1.1054686,21.5,63.749996,24.0,68.49999
2022-01-28 04:00:00,200.0,287.99997,50.0,25.749998,2.0,30.812498,4.0,1.1328124,21.2,76.49999,23.8,81.49999
2022-01-28 05:00:00,300.0,300.99997,54.0,28.124998,1.0,26.499998,3.0,1.3593749,22.6,98.49999,24.8,104.74999
2022-01-28 06:00:00,200.0,373.99997,58.0,31.874998,1.0,19.874998,3.0,2.5390623,23.0,186.49998,25.4,197.49998
2022-01-28 07:00:00,300.0,447.99997,62.0,33.624996,5.0,16.687498,4.0,3.6093748,25.2,313.99997,28.8,331.99997
2022-01-28 08:00:00,400.0,487.99997,65.0,29.187498,14.0,23.624998,4.0,3.7265623,32.2,396.99997,36.2,420.99997
2022-01-28 09:00:00,600.0,507.99997,79.0,27.437498,34.0,31.124998,5.0,3.4296873,26.6,411.99997,34.4,438.99997
2022-01-28 10:00:00,500.0,453.99997,60.0,14.937499,52.0,75.24999,3.0,2.9218748,20.6,337.99997,27.7,363.99997
2022-01-28 11:00:00,400.0,403.99997,17.0,9.437499,69.0,84.49999,4.0,2.5703123,19.3,260.99997,27.2,287.99997
2022-01-28 12:00:00,500.0,367.99997,13.0,7.3749995,75.0,89.49999,5.0,2.2968748,18.9,191.49998,24.6,217.99998
2022-01-28 13:00:00,500.0,297.99997,16.0,5.3593745,75.0,94.49999,5.0,1.5351561,20.1,99.49999,26.1,119.74999
2022-01-28 14:00:00,400.0,277.99997,15.0,4.9843745,77.0,95.99999,4.0,1.3124999,16.9,61.624996,22.4,79.49999
2022-01-28 15:00:00,400.0,267.99997,21.0,5.4843745,72.0,95.99999,4.0,1.1796874,17.3,44.874996,23.2,60.999996
2022-01-28 16:00:00,300.0,487.99997,47.0,6.2656245,40.0,92.99999,3.0,4.7187495,15.2,48.749996,19.9,63.874996
2022-01-28 17:00:00,400.0,821.99994,79.0,6.1718745,7.0,91.74999,4.0,9.187499,18.3,64.99999,24.9,81.49999
2022-01-28 18:00:00,400.0,1175.9999,81.0,5.8281245,6.0,90.99999,5.0,13.718749,22.8,76.24999,28.2,93.74999
2022-01-28 19:00:00,600.0,1403.9999,81.0,11.656249,15.0,76.74999,6.0,15.749999,27.7,81.49999,33.0,97.99999
2022-01-28 20:00:00,700.0,1363.9999,72.0,18.374998,14.0,58.749996,7.0,11.937499,25.8,75.24999,30.5,89.49999
2022-01-28 21:00:00,1200.0,1151.9999,66.0,22.999998,17.0,44.374996,13.0,8.249999,16.1,62.874996,19.1,75.49999
2022-01-28 22:00:00,900.0,453.99997,59.0,26.062498,13.0,33.999996,10.0,2.5390623,14.9,44.624996,16.7,54.749996
2022-01-28 23:00:00,600.0,330.99997,53.0,27.437498,8.0,28.624998,6.0,1.3437499,12.1,28.437498,13.6,35.499996
2022-01-29 00:00:00,500.0,280.99997,47.0,27.812498,6.0,27.562498,6.0,0.7382812,12.3,19.187498,14.1,23.687498
2022-01-29 01:00:00,300.0,277.99997,44.0,30.187498,2.0,24.374998,5.0,0.6855468,10.4,11.937499,11.7,14.656249
2022-01-29 02:00:00,500.0,287.99997,41.0,27.812498,1.0,26.124998,5.0,0.82031244,10.2,10.468749,11.5,12.718749
2022-01-29 03:00:00,400.0,300.99997,28.0,27.124998,8.0,27.562498,5.0,1.0898436,9.7,8.999999,10.8,11.062499
2022-01-29 04:00:00,300.0,310.99997,22.0,24.374998,25.0,32.999996,4.0,1.2539061,7.7,7.8124995,8.4,9.656249
2022-01-29 05:00:00,300.0,333.99997,32.0,21.249998,25.0,38.624996,3.0,1.5820311,7.4,7.8437495,7.8,9.531249
2022-01-29 06:00:00,300.0,420.99997,43.0,18.874998,19.0,44.374996,3.0,3.0156248,7.6,11.312499,8.4,13.406249
2022-01-29 07:00:00,300.0,521.99994,54.0,12.343749,12.0,60.874996,3.0,4.4218745,7.7,12.812499,8.4,15.468749
2022-01-29 08:00:00,600.0,595.99994,62.0,9.281249,7.0,62.999996,3.0,5.1874995,5.5,13.374999,6.5,16.374998
2022-01-29 09:00:00,600.0,647.99994,37.0,6.6874995,29.0,67.24999,4.0,5.0156245,3.5,12.843749,5.0,15.906249
2022-01-29 10:00:00,500.0,561.99994,26.0,3.9843748,41.0,72.99999,3.0,3.4921873,3.3,10.374999,6.2,13.593749
2022-01-29 11:00:00,400.0,487.99997,21.0,3.9062498,47.0,73.74999,4.0,3.1015623,3.3,8.156249,6.5,11.593749
2022-01-29 12:00:00,500.0,433.99997,18.0,4.0312495,52.0,74.49999,5.0,2.8984373,3.0,6.7968745,5.6,10.249999
2022-01-29 13:00:00,400.0,273.99997,16.0,4.5468745,55.0,73.74999,4.0,1.1484374,3.2,5.7343745,4.2,8.749999
2022-01-29 14:00:00,400.0,253.99998,17.0,5.1562495,54.0,71.74999,5.0,0.95507807,3.3,5.3281245,5.0,8.031249
2022-01-29 15:00:00,400.0,247.49998,14.0,5.5781245,57.0,69.49999,3.0,0.8867187,3.2,5.1562495,4.8,7.6093745
2022-01-29 16:00:00,500.0,413.99997,16.0,5.9999995,55.0,68.74999,4.0,3.7031248,3.0,5.3906245,4.9,7.9062495
2022-01-29 17:00:00,300.0,667.99994,15.0,6.6093745,56.0,68.74999,4.0,7.0937495,3.5,6.5781245,5.7,9.406249
2022-01-29 18:00:00,500.0,881.99994,18.0,6.6874995,54.0,69.49999,5.0,9.187499,4.0,8.999999,5.6,12.437499
2022-01-29 19:00:00,1000.0,989.99994,19.0,5.6562495,54.0,71.74999,9.0,9.562499,4.0,10.968749,5.9,14.781249
2022-01-29 20:00:00,1300.0,975.99994,17.0,5.4062495,59.0,68.74999,15.0,8.124999,4.2,11.062499,6.0,14.906249
2022-01-29 21:00:00,1300.0,935.99994,15.0,4.9843745,56.0,68.74999,13.0,6.4374995,5.0,11.124999,6.3,14.874999
2022-01-29 22:00:00,1200.0,741.99994,12.0,4.5468745,56.0,70.24999,,4.1874995,5.2,10.062499,6.0,13.718749
2022-01-29 23:00:00,1000.0,555.99994,9.0,4.1249995,59.0,71.74999,,2.3281248,5.1,7.1249995,6.0,10.187499
2022-01-30 00:00:00,600.0,433.99997,7.0,3.5156248,63.0,72.99999,7.0,1.4765624,4.5,6.2968745,5.5,9.218749
2022-01-30 01:00:00,400.0,400.99997,6.0,4.8906245,65.0,72.24999,5.0,1.2968749,4.0,6.7343745,5.6,9.343749
2022-01-30 02:00:00,400.0,380.99997,6.0,4.7187495,67.0,73.74999,,1.4765624,4.4,7.6874995,6.1,10.437499
