,Station,Model,60m,700m
2021-10-12 01:00:00,14.9,10.124999046325684,15.0,16.25
2021-10-12 02:00:00,14.9,10.062499046325684,,19.25
2021-10-12 03:00:00,14.9,10.249999046325684,,22.0
2021-10-12 04:00:00,14.9,11.156249046325684,,25.75
2021-10-12 05:00:00,14.9,12.031249046325684,,24.0
2021-10-12 06:00:00,14.9,12.718749046325684,,31.5
2021-10-12 07:00:00,14.9,12.624999046325684,,32.0
2021-10-12 08:00:00,14.9,12.187499046325684,,41.0
2021-10-12 09:00:00,16.9,11.812499046325684,,31.0
2021-10-12 10:00:00,18.8,10.593749046325684,,
2021-10-12 11:00:00,18.8,9.562499046325684,,
2021-10-12 12:00:00,20.3,9.218749046325684,,
2021-10-12 13:00:00,21.8,9.781249046325684,,15.0
2021-10-12 14:00:00,21.8,10.468749046325684,13.2,8.0
2021-10-12 15:00:00,19.8,11.031249046325684,8.5,8.0
2021-10-12 16:00:00,17.9,13.781249046325684,11.0,
2021-10-12 17:00:00,17.9,18.437498092651367,15.0,26.0
2021-10-12 18:00:00,15.9,21.937498092651367,,24.5
2021-10-12 19:00:00,13.9,31.93749809265137,,
2021-10-12 20:00:00,13.9,40.999996185302734,,33.5
2021-10-12 21:00:00,13.9,38.124996185302734,,38.666666666666664
2021-10-12 22:00:00,13.9,31.06249809265137,,42.75
2021-10-12 23:00:00,13.9,24.56249809265137,,37.0
2021-10-13 00:00:00,14.4,19.312498092651367,,39.0
2021-10-13 01:00:00,14.9,14.874999046325684,,41.0
2021-10-13 02:00:00,14.9,15.281249046325684,,35.5
2021-10-13 03:00:00,13.4,17.437498092651367,,29.833333333333332
2021-10-13 04:00:00,11.9,25.18749809265137,,30.6
2021-10-13 05:00:00,11.9,33.24999618530273,,32.0
2021-10-13 06:00:00,11.4,37.624996185302734,,35.666666666666664
2021-10-13 07:00:00,10.9,36.874996185302734,,36.0
2021-10-13 08:00:00,10.9,37.749996185302734,,45.0
2021-10-13 09:00:00,13.9,39.749996185302734,,43.0
2021-10-13 10:00:00,16.9,15.937499046325684,,31.5
2021-10-13 11:00:00,16.9,12.781249046325684,,25.0
2021-10-13 12:00:00,14.4,10.624999046325684,4.0,
2021-10-13 13:00:00,11.9,11.124999046325684,2.8333333333333335,
2021-10-13 14:00:00,11.9,14.374999046325684,3.75,7.0
2021-10-13 15:00:00,11.4,18.124998092651367,,
2021-10-13 16:00:00,10.9,25.49999809265137,4.5,
2021-10-13 17:00:00,10.9,36.624996185302734,8.0,12.0
2021-10-13 18:00:00,13.4,40.374996185302734,8.5,14.5
2021-10-13 19:00:00,15.9,34.87499618530273,15.833333333333334,29.0
2021-10-13 20:00:00,15.9,23.68749809265137,28.5,31.0
2021-10-13 21:00:00,20.8,11.937499046325684,,41.5
2021-10-13 22:00:00,25.8,6.390624523162843,,38.25
2021-10-13 23:00:00,25.8,5.640624523162843,,29.333333333333332
2021-10-14 00:00:00,24.3,5.937499523162843,,26.25
2021-10-14 01:00:00,22.8,6.140624523162843,,17.0
2021-10-14 02:00:00,22.8,6.390624523162843,,14.666666666666666
2021-10-14 03:00:00,14.4,7.718749523162843,,11.0
2021-10-14 04:00:00,6.0,13.374999046325684,,10.5
